Model,Recall,Precision,F1,F2,PR-AUC,ROC-AUC
XGBoost,0.9964285714285714,0.9946524064171123,0.9955396966993756,0.9960728311317386,0.9998488419249334,0.999736328125
Random Forest,0.9883928571428572,0.9659685863874345,0.9770520741394528,0.9838250977603982,0.998070116519109,0.9966336495535715
Isolation Forest,0.7991071428571429,0.74212271973466,0.7695614789337919,0.7870207527259937,0.8009977701924724,0.713388671875
KNN,0.9785714285714285,0.9838420107719928,0.981199641897941,0.979621022524133,0.9971229965615737,0.9967271205357143
Decision Tree,0.9660714285714286,0.9695340501792115,0.9677996422182469,0.9667619728377412,0.9833079146187729,0.9790625
